"Plate";"Well";"Medium";"Condition";"basePlus100";"basePlus150";"KEGG"
"PM01";"E09";"Adonitol";"Adonitol_PM01";5;3;NA
"PM01";"E10";"Maltotriose";"Maltotriose_PM01";6;1;"C01835[c]"
"PM01";"E11";"2__Deoxy_Adenosine";"2__Deoxy_Adenosine_PM01";0;0;"C05198[c]"
"PM01";"E12";"Adenosine";"Adenosine_PM01";1;0;"C00212[c]"
"PM01";"F01";"Gly_Asp";"Gly_Asp_PM01";0;0;NA
"PM01";"F02";"Citric_Acid";"Citric_Acid_PM01";0;0;"C00158[e]"
"PM01";"F03";"myo_Inositol";"myo_Inositol_PM01";5;3;NA
"PM01";"F04";"D_Threonine";"D_Threonine_PM01";1;0;NA
"PM01";"F05";"Fumaric_Acid";"Fumaric_Acid_PM01";0;0;"C00122[e]"
"PM01";"F06";"Bromo_Succinic_Acid";"Bromo_Succinic_Acid_PM01";0;0;NA
"PM01";"F07";"Propionic_Acid";"Propionic_Acid_PM01";1;0;"C00163[e]"
"PM01";"F08";"Mucic_Acid";"Mucic_Acid_PM01";1;1;NA
"PM01";"F09";"Glycolic_Acid";"Glycolic_Acid_PM01";6;0;"C00160[c]"
"PM01";"F10";"Glyoxylic_Acid";"Glyoxylic_Acid_PM01";0;0;"C00048[c]"
"PM01";"F11";"D_Cellobiose";"D_Cellobiose_PM01";7;3;"C00185[e]"
"PM01";"F12";"Inosine";"Inosine_PM01";1;0;"C00294[c]"
"PM01";"G01";"Gly_Glu";"Gly_Glu_PM01";0;0;NA
"PM01";"G02";"Tricarballylic_Acid";"Tricarballylic_Acid_PM01";0;0;NA
"PM01";"G03";"L_Serine";"L_Serine_PM01";1;0;"C00065[e]"
"PM01";"G04";"L_Threonine";"L_Threonine_PM01";1;0;"C00188[e]"
"PM01";"G05";"L_Alanine";"L_Alanine_PM01";4;1;"C00041[e]"
"PM01";"G06";"Ala_Gly";"Ala_Gly_PM01";2;1;NA
"PM01";"G07";"Acetoacetic_Acid";"Acetoacetic_Acid_PM01";0;0;"C00164[c]"
"PM01";"G08";"N_Acetyl_b_D_Mannosamine";"N_Acetyl_b_D_Mannosamine_PM01";0;0;NA
"PM01";"G09";"Mono_Methyl_Succinate";"Mono_Methyl_Succinate_PM01";0;0;NA
"PM01";"G10";"Methyl_Pyruvate";"Methyl_Pyruvate_PM01";0;0;NA
"PM01";"G11";"D_Malic_Acid";"D_Malic_Acid_PM01";1;0;NA
"PM01";"G12";"L_Malic_Acid";"L_Malic_Acid_PM01";1;0;NA
"PM01";"H01";"Gly_Pro";"Gly_Pro_PM01";5;1;NA
"PM01";"H02";"p_Hydroxy_Phenylacetic_Acid";"p_Hydroxy_Phenylacetic_Acid_PM01";7;3;NA
"PM01";"H03";"m_Hydroxy_Phenylacetic_Acid";"m_Hydroxy_Phenylacetic_Acid_PM01";7;4;NA
"PM01";"H04";"Tyramine";"Tyramine_PM01";7;5;"C00483[c]"
"PM01";"H05";"D_Psicose";"D_Psicose_PM01";0;0;NA
"PM01";"H06";"L_Lyxose";"L_Lyxose_PM01";8;8;NA
"PM01";"H07";"Glucuronamide";"Glucuronamide_PM01";0;0;NA
"PM01";"H08";"Pyruvic_Acid";"Pyruvic_Acid_PM01";1;0;"C00022[e]"
"PM01";"H09";"L_Galactonic_Acid_g_Lactone";"L_Galactonic_Acid_g_Lactone_PM01";3;0;NA
"PM01";"H10";"D_Galacturonic_Acid";"D_Galacturonic_Acid_PM01";3;1;NA
"PM01";"H11";"b_Phenylethylamine";"b_Phenylethylamine_PM01";4;2;NA
"PM01";"H12";"Ethanolamine";"Ethanolamine_PM01";3;2;"C00189[c]"
"PM02A";"A01";"Negative_Control";"Negative_Control_PM02A";0;0;NA
"PM02A";"A02";"Chondroitin_Sulfate_C";"Chondroitin_Sulfate_C_PM02A";0;0;NA
"PM02A";"A03";"a_Cyclodextrin";"a_Cyclodextrin_PM02A";4;0;NA
"PM02A";"A04";"b_Cyclodextrin";"b_Cyclodextrin_PM02A";7;3;NA
"PM02A";"A05";"g_Cyclodextrin";"g_Cyclodextrin_PM02A";6;2;NA
"PM02A";"A06";"Dextrin";"Dextrin_PM02A";3;0;NA
"PM02A";"A07";"Gelatin";"Gelatin_PM02A";0;0;NA
"PM02A";"A08";"Glycogen";"Glycogen_PM02A";1;0;"C00182[e]"
"PM02A";"A09";"Inulin";"Inulin_PM02A";0;0;NA
"PM02A";"A10";"Laminarin";"Laminarin_PM02A";2;0;NA
"PM02A";"A11";"Mannan";"Mannan_PM02A";0;0;"C00464[e]"
"PM02A";"A12";"Pectin";"Pectin_PM02A";2;0;"C00470[e]"
"PM02A";"B01";"N_Acetyl_D_Galactosamine";"N_Acetyl_D_Galactosamine_PM02A";0;0;NA
"PM02A";"B02";"N_Acetyl_Neuraminic_Acid";"N_Acetyl_Neuraminic_Acid_PM02A";0;0;NA
"PM02A";"B03";"b_D_Allose";"b_D_Allose_PM02A";0;0;NA
"PM02A";"B04";"Amygdalin";"Amygdalin_PM02A";4;2;"C08325[c]"
"PM02A";"B05";"D_Arabinose";"D_Arabinose_PM02A";8;4;"C00216[e]"
"PM02A";"B06";"D_Arabitol";"D_Arabitol_PM02A";4;1;NA
"PM02A";"B07";"L_Arabitol";"L_Arabitol_PM02A";4;1;NA
"PM02A";"B08";"Arbutin";"Arbutin_PM02A";8;8;NA
"PM02A";"B09";"2_Deoxy_D_Ribose";"2_Deoxy_D_Ribose_PM02A";8;0;NA
"PM02A";"B10";"m_Erythritol";"m_Erythritol_PM02A";0;0;NA
"PM02A";"B11";"D_Fucose";"D_Fucose_PM02A";0;0;NA
"PM02A";"B12";"3_O_b_D_Galactopyranosyl_D_Arabinose";"3_O_b_D_Galactopyranosyl_D_Arabinose_PM02A";0;0;NA
"PM02A";"C01";"b_Gentiobiose";"b_Gentiobiose_PM02A";8;3;NA
"PM02A";"C02";"L_Glucose";"L_Glucose_PM02A";0;0;NA
"PM02A";"C03";"D_Lactitol";"D_Lactitol_PM02A";0;0;NA
"PM02A";"C04";"D_Melezitose";"D_Melezitose_PM02A";0;0;NA
"PM02A";"C05";"Maltitol";"Maltitol_PM02A";0;0;NA
"PM02A";"C06";"a_Methyl_D_Glucoside";"a_Methyl_D_Glucoside_PM02A";0;0;NA
"PM02A";"C07";"b_Methyl_D_Galactoside";"b_Methyl_D_Galactoside_PM02A";0;0;NA
"PM02A";"C08";"3_O_Methyl_D_Glucose";"3_O_Methyl_D_Glucose_PM02A";0;0;NA
"PM02A";"C09";"b_Methyl_D_Glucuronic_Acid";"b_Methyl_D_Glucuronic_Acid_PM02A";0;0;NA
"PM02A";"C10";"a_Methyl_D_Mannoside";"a_Methyl_D_Mannoside_PM02A";0;0;NA
"PM02A";"C11";"b_Methyl_D_Xylopyranoside";"b_Methyl_D_Xylopyranoside_PM02A";0;0;NA
"PM02A";"C12";"Palatinose";"Palatinose_PM02A";8;3;NA
"PM02A";"D01";"D_Raffinose";"D_Raffinose_PM02A";7;4;"C00492[e]"
"PM02A";"D02";"D_Salicin";"D_Salicin_PM02A";0;0;NA
"PM02A";"D03";"Sedoheptulosan";"Sedoheptulosan_PM02A";0;0;NA
"PM02A";"D04";"L_Sorbose";"L_Sorbose_PM02A";6;2;"C00247[e]"
"PM02A";"D05";"Stachyose";"Stachyose_PM02A";6;0;"C01613[c]"
"PM02A";"D06";"D_Tagatose";"D_Tagatose_PM02A";0;0;"C00795[e]"
"PM02A";"D07";"Turanose";"Turanose_PM02A";8;3;NA
"PM02A";"D08";"Xylitol";"Xylitol_PM02A";2;0;"C00379[e]"
"PM02A";"D09";"N_Acetyl_D_Glucosaminitol";"N_Acetyl_D_Glucosaminitol_PM02A";0;0;NA
"PM02A";"D10";"g_Amino_n_Butyric_Acid";"g_Amino_n_Butyric_Acid_PM02A";3;0;NA
"PM02A";"D11";"d_Amino_Valeric_Acid";"d_Amino_Valeric_Acid_PM02A";0;0;NA
"PM02A";"D12";"Butyric_Acid";"Butyric_Acid_PM02A";0;0;NA
"PM02A";"E01";"Capric_Acid";"Capric_Acid_PM02A";0;0;"C01571[c]"
"PM02A";"E02";"Caproic_Acid";"Caproic_Acid_PM02A";1;0;NA
"PM02A";"E03";"Citraconic_Acid";"Citraconic_Acid_PM02A";0;0;NA
"PM02A";"E04";"D_Citramalic_Acid";"D_Citramalic_Acid_PM02A";0;0;NA
"PM02A";"E05";"D_Glucosamine";"D_Glucosamine_PM02A";7;0;"C00329[e]"
"PM02A";"E06";"2_Hydroxy_Benzoic_Acid";"2_Hydroxy_Benzoic_Acid_PM02A";0;0;NA
"PM02A";"E07";"4_Hydroxy_Benzoic_Acid";"4_Hydroxy_Benzoic_Acid_PM02A";4;2;NA
"PM02A";"E08";"b_Hydroxy_Butyric_Acid";"b_Hydroxy_Butyric_Acid_PM02A";0;0;NA
"PM02A";"E09";"g_Hydroxy_Butyric_Acid";"g_Hydroxy_Butyric_Acid_PM02A";2;0;NA
"PM02A";"E10";"a_Keto_Valeric_Acid";"a_Keto_Valeric_Acid_PM02A";0;0;NA
"PM02A";"E11";"Itaconic_Acid";"Itaconic_Acid_PM02A";0;0;"C00490[e]"
"PM02A";"E12";"5_Keto_D_Gluconic_Acid";"5_Keto_D_Gluconic_Acid_PM02A";4;1;NA
"PM02A";"F01";"D_Lactic_Acid_Methyl_Ester";"D_Lactic_Acid_Methyl_Ester_PM02A";1;0;NA
"PM02A";"F02";"Malonic_Acid";"Malonic_Acid_PM02A";0;0;"C00383[c]"
"PM02A";"F03";"Melibionic_Acid";"Melibionic_Acid_PM02A";0;0;NA
"PM02A";"F04";"Oxalic_Acid";"Oxalic_Acid_PM02A";0;0;"C00209[e]"
"PM02A";"F05";"Oxalomalic_Acid";"Oxalomalic_Acid_PM02A";0;0;NA
"PM02A";"F06";"Quinic_Acid";"Quinic_Acid_PM02A";2;1;NA
"PM02A";"F07";"D_Ribono_1_4_Lactone";"D_Ribono_1_4_Lactone_PM02A";1;0;NA
"PM02A";"F08";"Sebacic_Acid";"Sebacic_Acid_PM02A";0;0;NA
"PM02A";"F09";"Sorbic_Acid";"Sorbic_Acid_PM02A";8;4;NA
"PM02A";"F10";"Succinamic_Acid";"Succinamic_Acid_PM02A";0;0;NA
"PM02A";"F11";"D_Tartaric_Acid";"D_Tartaric_Acid_PM02A";0;0;NA
"PM02A";"F12";"L_Tartaric_Acid";"L_Tartaric_Acid_PM02A";0;0;NA
"PM02A";"G01";"Acetamide";"Acetamide_PM02A";0;0;NA
"PM02A";"G02";"L_Alaninamide";"L_Alaninamide_PM02A";1;0;NA
"PM02A";"G03";"N_Acetyl_L_Glutamic_Acid";"N_Acetyl_L_Glutamic_Acid_PM02A";0;0;NA
"PM02A";"G04";"L_Arginine";"L_Arginine_PM02A";2;0;"C00062[e]"
"PM02A";"G05";"Glycine";"Glycine_PM02A";0;0;"C00037[e]"
"PM02A";"G06";"L_Histidine";"L_Histidine_PM02A";0;0;"C00135[e]"
"PM02A";"G07";"L_Homoserine";"L_Homoserine_PM02A";3;0;"C00263[c]"
"PM02A";"G08";"L_Hydroxyproline";"L_Hydroxyproline_PM02A";0;0;NA
"PM02A";"G09";"L_Isoleucine";"L_Isoleucine_PM02A";3;1;"C00407[e]"
"PM02A";"G10";"L_Leucine";"L_Leucine_PM02A";2;2;"C00123[e]"
"PM02A";"G11";"L_Lysine";"L_Lysine_PM02A";0;0;"C00047[e]"
"PM02A";"G12";"L_Methionine";"L_Methionine_PM02A";0;0;"C00073[e]"
"PM02A";"H01";"L_Ornithine";"L_Ornithine_PM02A";7;4;"C00077[c]"
"PM02A";"H02";"L_Phenylalanine";"L_Phenylalanine_PM02A";1;1;"C00079[e]"
"PM02A";"H03";"L_Pyroglutamic_Acid";"L_Pyroglutamic_Acid_PM02A";5;0;NA
"PM02A";"H04";"L_Valine";"L_Valine_PM02A";2;1;"C00183[e]"
"PM02A";"H05";"D_L_Carnitine";"D_L_Carnitine_PM02A";0;0;NA
"PM02A";"H06";"Butylamine__sec_";"Butylamine__sec__PM02A";0;0;NA
"PM02A";"H07";"D_L_Octopamine";"D_L_Octopamine_PM02A";0;0;NA
"PM02A";"H08";"Putrescine";"Putrescine_PM02A";3;2;"C00134[e]"
"PM02A";"H09";"Dihydroxy_Acetone";"Dihydroxy_Acetone_PM02A";8;6;"C00184[c]"
"PM02A";"H10";"2_3_Butanediol";"2_3_Butanediol_PM02A";0;0;NA
"PM02A";"H11";"2_3_Butanedione";"2_3_Butanedione_PM02A";0;0;NA
"PM02A";"H12";"3_Hydroxy_2_Butanone";"3_Hydroxy_2_Butanone_PM02A";0;0;NA
"PM03B";"A01";"Negative_Control";"Negative_Control_PM03B";0;0;NA
"PM03B";"A02";"Ammonia";"Ammonia_PM03B";1;0;"C00014[e]"
"PM03B";"A03";"Sodium_Nitrite";"Sodium_Nitrite_PM03B";0;0;NA
"PM03B";"A04";"Sodium_Nitrate";"Sodium_Nitrate_PM03B";5;0;NA
"PM03B";"A05";"Urea";"Urea_PM03B";5;0;"C00086[e]"
"PM03B";"A06";"Biuret";"Biuret_PM03B";0;0;"C06555[c]"
"PM03B";"A07";"L_Alanine";"L_Alanine_PM03B";3;0;"C00041[e]"
"PM03B";"A08";"L_Arginine";"L_Arginine_PM03B";5;1;"C00062[e]"
"PM03B";"A09";"L_Asparagine";"L_Asparagine_PM03B";5;0;"C00152[e]"
"PM03B";"A10";"L_Aspartic_Acid";"L_Aspartic_Acid_PM03B";5;0;NA
"PM03B";"A11";"L_Cysteine";"L_Cysteine_PM03B";2;0;"C00097[e]"
"PM03B";"A12";"L_Glutamic_Acid";"L_Glutamic_Acid_PM03B";8;4;"C00025[e]"
"PM03B";"B01";"L_Glutamine";"L_Glutamine_PM03B";7;1;"C00064[e]"
"PM03B";"B02";"Glycine";"Glycine_PM03B";1;0;"C00037[e]"
"PM03B";"B03";"L_Histidine";"L_Histidine_PM03B";0;0;"C00135[e]"
"PM03B";"B04";"L_Isoleucine";"L_Isoleucine_PM03B";0;0;"C00407[e]"
"PM03B";"B05";"L_Leucine";"L_Leucine_PM03B";0;0;"C00123[e]"
"PM03B";"B06";"L_Lysine";"L_Lysine_PM03B";0;0;"C00047[e]"
"PM03B";"B07";"L_Methionine";"L_Methionine_PM03B";0;0;"C00073[e]"
"PM03B";"B08";"L_Phenylalanine";"L_Phenylalanine_PM03B";1;0;"C00079[e]"
"PM03B";"B09";"L_Proline";"L_Proline_PM03B";2;0;"C00148[e]"
"PM03B";"B10";"L_Serine";"L_Serine_PM03B";1;0;"C00065[e]"
"PM03B";"B11";"L_Threonine";"L_Threonine_PM03B";0;0;"C00188[e]"
"PM03B";"B12";"L_Tryptophan";"L_Tryptophan_PM03B";8;7;"C00078[e]"
"PM03B";"C01";"L_Tyrosine";"L_Tyrosine_PM03B";4;0;"C00082[e]"
"PM03B";"C02";"L_Valine";"L_Valine_PM03B";0;0;"C00183[e]"
"PM03B";"C03";"D_Alanine";"D_Alanine_PM03B";0;0;"C00133[c]"
"PM03B";"C04";"D_Asparagine";"D_Asparagine_PM03B";0;0;NA
"PM03B";"C05";"D_Aspartic_Acid";"D_Aspartic_Acid_PM03B";0;0;NA
"PM03B";"C06";"D_Glutamic_Acid";"D_Glutamic_Acid_PM03B";2;0;NA
"PM03B";"C07";"D_Lysine";"D_Lysine_PM03B";0;0;NA
"PM03B";"C08";"D_Serine";"D_Serine_PM03B";0;0;NA
"PM03B";"C09";"D_Valine";"D_Valine_PM03B";2;0;NA
"PM03B";"C10";"L_Citrulline";"L_Citrulline_PM03B";1;0;"C00327[c]"
"PM03B";"C11";"L_Homoserine";"L_Homoserine_PM03B";0;0;"C00263[c]"
"PM03B";"C12";"L_Ornithine";"L_Ornithine_PM03B";5;0;"C00077[c]"
"PM03B";"D01";"N_Acetyl_L_Glutamic_Acid";"N_Acetyl_L_Glutamic_Acid_PM03B";1;0;NA
"PM03B";"D02";"N_Phthaloyl_L_Glutamic_Acid";"N_Phthaloyl_L_Glutamic_Acid_PM03B";0;0;NA
"PM03B";"D03";"L_Pyroglutamic_Acid";"L_Pyroglutamic_Acid_PM03B";1;0;NA
"PM03B";"D04";"Hydroxylamine";"Hydroxylamine_PM03B";0;0;NA
"PM03B";"D05";"Methylamine";"Methylamine_PM03B";3;1;"C00218[c]"
"PM03B";"D06";"N_Amylamine";"N_Amylamine_PM03B";0;0;NA
"PM03B";"D07";"N_Butylamine";"N_Butylamine_PM03B";0;0;NA
"PM03B";"D08";"Ethylamine";"Ethylamine_PM03B";2;0;NA
"PM03B";"D09";"Ethanolamine";"Ethanolamine_PM03B";1;0;"C00189[c]"
"PM03B";"D10";"Ethylenediamine";"Ethylenediamine_PM03B";0;0;NA
"PM03B";"D11";"Putrescine";"Putrescine_PM03B";6;3;"C00134[e]"
"PM03B";"D12";"Agmatine";"Agmatine_PM03B";8;5;"C00179[e]"
"PM03B";"E01";"Histamine";"Histamine_PM03B";0;0;"C00388[c]"
"PM03B";"E02";"b_Phenylethylamine";"b_Phenylethylamine_PM03B";4;0;NA
"PM03B";"E03";"Tyramine";"Tyramine_PM03B";4;0;"C00483[c]"
"PM03B";"E04";"Acetamide";"Acetamide_PM03B";0;0;NA
"PM03B";"E05";"Formamide";"Formamide_PM03B";0;0;"C00488[c]"
"PM03B";"E06";"Glucuronamide";"Glucuronamide_PM03B";0;0;NA
"PM03B";"E07";"D_L_Lactamide";"D_L_Lactamide_PM03B";0;0;NA
"PM03B";"E08";"D_Glucosamine";"D_Glucosamine_PM03B";0;0;"C00329[e]"
"PM03B";"E09";"D_Galactosamine";"D_Galactosamine_PM03B";0;0;NA
"PM03B";"E10";"D_Mannosamine";"D_Mannosamine_PM03B";0;0;NA
"PM03B";"E11";"N_Acetyl_D_Glucosamine";"N_Acetyl_D_Glucosamine_PM03B";1;0;NA
"PM03B";"E12";"N_Acetyl_D_Galactosamine";"N_Acetyl_D_Galactosamine_PM03B";0;0;NA
"PM03B";"F01";"N_Acetyl_b_D_Mannosamine";"N_Acetyl_b_D_Mannosamine_PM03B";0;0;NA
"PM03B";"F02";"Adenine";"Adenine_PM03B";0;0;"C00147[e]"
"PM03B";"F03";"Adenosine";"Adenosine_PM03B";0;0;"C00212[c]"
"PM03B";"F04";"Cytidine";"Cytidine_PM03B";0;0;"C00475[c]"
"PM03B";"F05";"Cytosine";"Cytosine_PM03B";0;0;"C00380[e]"
"PM03B";"F06";"Guanine";"Guanine_PM03B";3;1;"C00242[e]"
"PM03B";"F07";"Guanosine";"Guanosine_PM03B";2;1;"C00387[c]"
"PM03B";"F08";"Thymine";"Thymine_PM03B";0;0;"C00178[c]"
"PM03B";"F09";"Thymidine";"Thymidine_PM03B";0;0;"C00214[c]"
"PM03B";"F10";"Uracil";"Uracil_PM03B";0;0;"C00106[e]"
"PM03B";"F11";"Uridine";"Uridine_PM03B";0;0;"C00299[c]"
"PM03B";"F12";"Inosine";"Inosine_PM03B";7;1;"C00294[c]"
"PM03B";"G01";"Xanthine";"Xanthine_PM03B";6;2;"C00385[c]"
"PM03B";"G02";"Xanthosine";"Xanthosine_PM03B";0;0;"C01762[c]"
"PM03B";"G03";"Uric_Acid";"Uric_Acid_PM03B";2;1;NA
"PM03B";"G04";"Alloxan";"Alloxan_PM03B";0;0;NA
"PM03B";"G05";"Allantoin";"Allantoin_PM03B";2;0;"C01551[c]"
"PM03B";"G06";"Parabanic_Acid";"Parabanic_Acid_PM03B";0;0;NA
"PM03B";"G07";"D_L_a_Amino_Butyric_Acid";"D_L_a_Amino_Butyric_Acid_PM03B";4;0;NA
"PM03B";"G08";"g_Amino_n_Butyric_Acid";"g_Amino_n_Butyric_Acid_PM03B";0;0;NA
"PM03B";"G09";"e_Amino_N_Caproic_Acid";"e_Amino_N_Caproic_Acid_PM03B";0;0;NA
"PM03B";"G10";"D_L_a_Amino_Caprylic_Acid";"D_L_a_Amino_Caprylic_Acid_PM03B";6;1;NA
"PM03B";"G11";"d_Amino_Valeric_Acid";"d_Amino_Valeric_Acid_PM03B";0;0;NA
"PM03B";"G12";"L_Norvaline";"L_Norvaline_PM03B";5;4;NA
"PM03B";"H01";"Ala_Asp";"Ala_Asp_PM03B";8;8;NA
"PM03B";"H02";"Ala_Gln";"Ala_Gln_PM03B";5;0;NA
"PM03B";"H03";"Ala_Glu";"Ala_Glu_PM03B";5;1;NA
"PM03B";"H04";"Ala_Gly";"Ala_Gly_PM03B";4;0;NA
"PM03B";"H05";"Ala_His";"Ala_His_PM03B";3;0;NA
"PM03B";"H06";"Ala_Leu";"Ala_Leu_PM03B";3;0;NA
"PM03B";"H07";"Ala_Thr";"Ala_Thr_PM03B";6;0;NA
"PM03B";"H08";"Gly_Asn";"Gly_Asn_PM03B";5;0;NA
"PM03B";"H09";"Gly_Gln";"Gly_Gln_PM03B";7;0;NA
"PM03B";"H10";"Gly_Glu";"Gly_Glu_PM03B";7;1;NA
"PM03B";"H11";"Gly_Met";"Gly_Met_PM03B";4;0;NA
"PM03B";"H12";"Met_Ala";"Met_Ala_PM03B";8;7;NA
